,isbn_10,title,full_title,publishers,identifiers,subtitle,description,covers,physical_format,last_modified,latest_revision,key,authors,ocaid,publish_places,contributions,languages,pagination,classifications,source_records,notes,number_of_pages,isbn_13,created,edition_name,publish_date,copyright_date,oclc_numbers,works,type,revision,ia_box_id,publish_country,by_statement,series,first_sentence,dewey_decimal_class,lc_classifications,local_id,other_titles,subject_people,subject_places,subject_times,subjects,genres,lccn,table_of_contents,contributors,weight,physical_dimensions,subject_place,uri_descriptions,url,uris,ia_loaded_id,translated_from,work_titles,translation_of,subject_time,oclc_number,work_title,coverimage,location,links,openlibrary,language
104,['0446606189'],Cat & Mouse (Alex Cross Novels),,['Vision'],"{'librarything': ['781868'], 'goodreads': ['233830']}",,,[286972],,"{'type': '/type/datetime', 'value': '2011-11-14T17:32:32.559817'}",10,/books/OL7537538M,[{'key': '/authors/OL6812710A'}],,,,[{'key': '/languages/eng'}],,,['amazon:0446606189:bl:3376600823:300499'],,451.0,['9780446606189'],"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}",,"November 1, 1998",,,[{'key': '/works/OL167169W'}],{'key': '/type/edition'},10,,,,['Alex Cross (4)'],"{'type': '/type/text', 'value': ""THE CROSS house was twenty paces away and proximity and sight of it made Gary Soneji's skin prickle.""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,['044922046X'],Catering to Nobody,,['Fawcett Crest'],{},,,[6637566],,"{'type': '/type/datetime', 'value': '2016-06-22T13:12:57.629723'}",5,/books/OL24202903M,[{'key': '/authors/OL19265A'}],cateringtonobody00davi,['New York'],,,310 p. ;,{},['ia:cateringtonobody00davi'],,310.0,['9780449220467'],"{'type': '/type/datetime', 'value': '2010-05-05T06:01:30.082022'}",1st Ballantine Books ed.,1992,,['26646940'],[{'key': '/works/OL15135502W'}],{'key': '/type/edition'},5,['IA114706'],nyu,Diane Mott Davidson.,,,['813/.54'],['PS3554.A925 C37 1992'],,,,,,"['Bear, Goldy (Fictitious character) -- Fiction.', 'Women in the food industry -- Fiction.', 'Caterers and catering -- Fiction.', 'Cookery -- Fiction.', 'Colorado -- Fiction.']",['Fiction.'],,,,,,,,,,,,,,,,,,,,,
106,['0425158616'],Cause of death,Cause of death,['Berkley Books'],,,"{'type': '/type/text', 'value': 'The mysterious death of diver Ted Eddings, an investigative reporter, and the murder of a morgue assistant driving her car lead medical examiner Kay Scarpetta, her niece, and police captain Pete Marino on the trail of a deadly supremacist group.'}",,,"{'type': '/type/datetime', 'value': '2021-02-22T08:54:07.342171'}",7,/books/OL24951308M,[{'key': '/authors/OL6898642A'}],,['New York'],,[{'key': '/languages/eng'}],356 p. ;,,['ia:causeofdeath00corn'],"{'type': '/type/text', 'value': ""Cause of death ends with page 332; pagination continues with preview of coming book, Hornet's nest.""}",356.0,['9780425158616'],"{'type': '/type/datetime', 'value': '2011-08-11T02:51:30.797128'}",,1997,,['37525500'],[{'key': '/works/OL16051104W'}],{'key': '/type/edition'},7,['IA108715'],nyu,Patricia Cornwell,,,['813.54'],['PS3553.O692 C38 1997x'],,,,['Virginia'],,"['Women detectives', 'Medical examiners (Law)', 'Kay Scarpetta (Fictitious character)', 'Fiction', 'Protected DAISY', 'Accessible book']",,,,,,,,,,,['causeofdeath00corn'],,,,,,,,,,,
107,['0425174271'],Certain prey,,['Berkley Books'],"{'librarything': ['25588'], 'goodreads': ['889804']}",,,[6374480],,"{'type': '/type/datetime', 'value': '2021-02-23T05:37:08.381853'}",7,/books/OL15307148M,[{'key': '/authors/OL22138A'}],certainprey0000sand,['New York'],,[{'key': '/languages/eng'}],368 p. ;,,"['marc:marc_miami_univ_ohio/allbibs0132.out:2808785:904', 'bwb:9780425174272', 'ia:certainprey0000sand']",,368.0,,"{'type': '/type/datetime', 'value': '2008-09-19T06:50:20.774860'}",,2000,,,[{'key': '/works/OL152103W'}],{'key': '/type/edition'},7,,nyu,John Sandford,,,,['PS3569.A516 C47 1999'],,,,,,"['Davenport, Lucas (Fictitious character) -- Fiction', 'Private investigators -- Minnesota -- Minneapolis -- Fiction', 'Detective and mystery stories', 'Minneapolis (Minn.) -- Fiction']",['Fiction'],['99019048'],,,,,,,,,,,,,,,,,,,,
108,['0064400557'],Tela Charlottae,,['Harper & Row'],{'librarything': ['1590']},fabula,"Wilbur the pig is desolate when he discovers that he is destined to be the farmer's Christmas dinner until his spider friend, Charlotte decides to help him.",[-1],Paperback,"{'type': '/type/datetime', 'value': '2018-02-25T17:22:32.615384'}",9,/books/OL2777826M,[{'key': '/authors/OL30250A'}],,"['New York, N.Y. USA']","['Fox, Bernice L.']",[{'key': '/languages/lat'}],147 p. ;,{},,"{'type': '/type/text', 'value': '""Vocabular list"": p. 125-145.\r\n""Printed in a limited edition of 100 copies""--Verso t.p.'}",147.0,['9780064400558'],"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}",,1985,,['879625800'],[{'key': '/works/OL15392519W'}],{'key': '/type/edition'},9,,nyu,ab E.B. White scripta et ab Bernice L. Fox in sermonem Latinum conversa.,,,['[Fic]'],['PZ90.L3 W55 1985'],,,,,,"['Animals -- Fiction.', 'Fantasy.', 'Latin language materials.']",,['86141171'],,"[{'role': 'Translator', 'name': 'Bernice L. Fox'}]",,,,['Publisher description'],['http://www.loc.gov/catdir/description/hc043/86141171.html'],['http://www.loc.gov/catdir/description/hc043/86141171.html'],,,,Charlotte's Web,,,"[""Charlotte's web.""]",,,,,
109,['038533334X'],Charming Billy,,['Dell Pub.'],,,,[6472724],,"{'type': '/type/datetime', 'value': '2011-08-11T22:53:21.124057'}",4,/books/OL24203123M,[{'key': '/authors/OL238150A'}],charmingbilly00mcde,['New York'],,,243 p. :,,['ia:charmingbilly00mcde'],,243.0,['9780385333344'],"{'type': '/type/datetime', 'value': '2010-05-05T06:08:22.851066'}",,1999,,['40626182'],[{'key': '/works/OL15135704W'}],{'key': '/type/edition'},4,['IA104501'],nyu,Alice McDermott.,,,['813/.54'],['PS3563.C355 C48 1999'],,,,,,"['Irish Americans -- New York (State) -- New York -- Fiction.', 'Alcoholics -- New York (State) -- New York -- Fiction.', 'Families -- New York (State) -- New York -- Fiction.', 'Bronx (New York, N.Y.) -- Fiction.']",['Fiction.'],,,,,,,,,,,,,,,,,,,,,
110,['155874262X'],Chicken Soup for the Soul,,['HCI'],"{'librarything': ['7501703'], 'goodreads': ['427918']}",101 Stories to Open the Heart and Rekindle the Spirit (Chicken Soup for the Soul),,[785175],Paperback,"{'type': '/type/datetime', 'value': '2014-07-31T18:45:03.005693'}",14,/books/OL8607798M,"[{'key': '/authors/OL509912A'}, {'key': '/authors/OL1658765A'}]",chickensoupforso00canf_0,,,[{'key': '/languages/eng'}],,,"['ia:chickensoupfors200canf', 'ia:chickensoupforso00canf_0', 'ia:chickensoupforso00canf_629', 'ia:chickensoupforso00can_w2m']",,328.0,['9781558742628'],"{'type': '/type/datetime', 'value': '2008-04-30T08:14:56.482104'}",Revised edition,"May 1, 1993",,,[{'key': '/works/OL3180520W'}],{'key': '/type/edition'},14,['IA150101'],,,,,,,,,,,,"['Mind, body, spirit: thought & practice', 'Popular psychology', 'Self-Help & Practical Interests', 'Self-Help', 'Inspirational - General', 'Inspirational', 'Spiritual life', 'General', 'Self-Help / General', 'Personal Growth - Self-Esteem', 'Parables']",,,,,12 ounces,8.3 x 5.6 x 0.8 inches,,,,,['chickensoupforso00canf_0'],,,,,,,,,,,
111,"['1558744290', '1558744150']",Chicken soup for the woman's soul,,['Health Communications'],"{'goodreads': ['825880', '1456051'], 'librarything': ['72144']}",101 stories to open the hearts and rekindle the spirits of women,,"[785247, 785239, -1]",,"{'type': '/type/datetime', 'value': '2020-11-23T10:44:09.174258'}",20,/books/OL986609M,[{'key': '/authors/OL509912A'}],chickensoupforwo00canf,"['Deerfield Beach, Fla']","['Canfield, Jack, 1944-']",[{'key': '/languages/eng'}],"xx, 350 p. :",,"['marc:marc_records_scriblio_net/part25.dat:185698756:696', 'marc:marc_loc_updates/v35.i25.records.utf8:3855984:888', 'ia:chickensoupforwo00canf', 'ia:chickensoupforwo16canf', 'ia:chickensoupforw000canf', 'ia:chickensoupforwo01canf', 'marc:marc_openlibraries_sanfranciscopubliclibrary/sfpl_chq_2018_12_24_run02.mrc:164482051:1860', 'amazon:1558744150', 'marc:marc_loc_2016/BooksAll.2016.part25.utf8:91657783:1004']",,350.0,,"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}",,1996,,,[{'key': '/works/OL15159367W'}],{'key': '/type/edition'},20,['IA150001'],flu,Jack Canfield ... [et al.].,,,['158/.12'],['BJ1610 .C522 1996'],"['urn:sfpl:31223064350607', 'urn:sfpl:31223068591099', 'urn:sfpl:31223048361969']",,,,,['Women -- Conduct of life'],,['96024700'],,,,,,,,,['chickensoupforw000canf'],,,,,,,,,,,
112,['0552998486'],Chocolat,,['Black Swan'],"{'goodreads': ['15107'], 'librarything': ['5716']}",,,[367685],Paperback,"{'type': '/type/datetime', 'value': '2010-08-06T06:53:44.226708'}",8,/books/OL7816280M,[{'key': '/authors/OL25453A'}],,,,,,,,,320.0,['9780552998482'],"{'type': '/type/datetime', 'value': '2008-04-29T15:03:11.581851'}",New Ed edition,"March 2, 2000",,,[{'key': '/works/OL451304W'}],{'key': '/type/edition'},8,,,,,,,,,,,,,"['Modern fiction', 'Fiction']",,,,,8.2 ounces,7.7 x 5 x 0.9 inches,,,,,,,,,,,,,,,,
113,['0385720920'],Choke,,['Anchor'],"{'goodreads': ['29059'], 'librarything': ['6156989']}",,,[243825],,"{'type': '/type/datetime', 'value': '2014-04-06T03:49:56.660454'}",7,/books/OL7441865M,[{'key': '/authors/OL24312A'}],choke00pala_985,,,[{'key': '/languages/eng'}],,,['amazon:0385720920:20:3063748486:247915'],,304.0,['9780385720922'],"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}",,"June 11, 2002",,,[{'key': '/works/OL18940W'}],{'key': '/type/edition'},7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,['0425182878'],Chosen Prey,,['Berkley'],"{'goodreads': ['14785'], 'librarything': ['25594']}",,,[272076],,"{'type': '/type/datetime', 'value': '2013-04-15T05:54:58.633126'}",10,/books/OL7504674M,"[{'key': '/authors/OL22138A'}, {'key': '/authors/OL949025A'}]",chosenprey00sand,,,[{'key': '/languages/eng'}],,,['ia:chosenprey00sand'],,383.0,['9780425182871'],"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}",,"February 3, 2004",,,[{'key': '/works/OL15157365W'}],{'key': '/type/edition'},10,['IA105912'],,,['Prey (12)'],"{'type': '/type/text', 'value': 'JAMES QATAR DROPPED his feet over the edge of the bed and rubbed the back of his neck, a momentary veil of depression falling upon him.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,['0451160444'],Christine (Signet),,['Signet'],"{'librarything': ['35808'], 'goodreads': ['228122']}",,,[291556],,"{'type': '/type/datetime', 'value': '2019-06-08T14:58:17.468135'}",8,/books/OL7572723M,[{'key': '/authors/OL2162284A'}],,,,[{'key': '/languages/eng'}],,{},['amazon:0451160444:bm:2815374022:263723'],,528.0,['9780451160447'],"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}",,"September 7, 2004",,,[{'key': '/works/OL81619W'}],{'key': '/type/edition'},8,,,,,"{'type': '/type/text', 'value': '""Oh my God!"" my friend Arnie Cunningham cried out suddenly.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,['0399142274'],Chromosome 6 cassette,,['Putnam Adult'],"{'goodreads': ['1108489'], 'librarything': ['8971391']}",,,[258482],,"{'type': '/type/datetime', 'value': '2010-08-06T00:23:08.235707'}",7,/books/OL7470788M,[{'key': '/authors/OL1744682A'}],,,,[{'key': '/languages/eng'}],,,,,1.0,['9780399142277'],"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}",,"March 17, 1997",,,[{'key': '/works/OL6528592W'}],{'key': '/type/edition'},7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,['0385301499'],Circle offriends,,['Delacorte Press'],"{'goodreads': ['667538'], 'librarything': ['4166']}",,,[5296581],,"{'type': '/type/datetime', 'value': '2019-05-13T08:47:28.646699'}",7,/books/OL15024815M,[{'key': '/authors/OL21305A'}],,"['New York, N.Y']",,[{'key': '/languages/eng'}],p. cm.,,"['marc:talis_openlibrary_contribution/talis-openlibrary-contribution.mrc:559463895:688', 'ia:circleoffriends000binc', 'marc:marc_openlibraries_phillipsacademy/PANO_FOR_IA_05072019.mrc:13032631:1642']",,,,"{'type': '/type/datetime', 'value': '2008-09-17T10:45:37.418626'}",,1991,,,[{'key': '/works/OL56806W'}],{'key': '/type/edition'},7,['IA152801'],xxu,by Maeve Binchy.,,,['823/.914'],['PR6052.I7728'],['urn:phillips:31867000603741'],,,,,"['Young women -- Ireland -- Dublin -- Fiction', 'Friendship -- Ireland -- Dublin -- Fiction']",,,,,,,,,,,['circleoffriends000binc'],,,,,,,,,,,
118,['0425122123'],Clear and present danger,,['Berkley'],"{'librarything': ['40588'], 'goodreads': ['854238']}",,,"[6621299, 270447]",,"{'type': '/type/datetime', 'value': '2020-08-18T08:23:42.954186'}",13,/books/OL7503193M,[{'key': '/authors/OL6951711A'}],clearpresentdangclancy00clan,,,[{'key': '/languages/eng'}],,{},"['ia:clearpresentdangclancy00clan', 'bwb:9780425122129']",,704.0,['9780425122129'],"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}",,1990,,,[{'key': '/works/OL448926W'}],{'key': '/type/edition'},13,['IA122321'],,,['Jack Ryan (4)'],"{'type': '/type/text', 'value': ""YOU COULDN'T LOOK at her and not be proud, Red Wegener told himself.""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"['0871136791', '1400077826']",Cold Mountain,Cold Mountain,['Atlantic Monthly Press'],,,"{'type': '/type/text', 'value': ""At the end of the Civil War, a wounded soldier walks home to his prewar sweetheart, and finds her struggling to rebuild her father's farm with the help of a young woman determined to teach the former Charleston belle the practicalities and harsh realities of surviving in the mountains of western North Carolina.""}",[6980484],,"{'type': '/type/datetime', 'value': '2021-03-26T11:46:03.528658'}",18,/books/OL24935282M,[{'key': '/authors/OL220820A'}],coldmountainfraz00fraz,['New York'],,[{'key': '/languages/eng'}],356 p. ;,,"['ia:coldmountainfraz00fraz', 'ia:coldmountainnove00fraz', 'ia:coldmountainnove00frazx', 'ia:coldmountainnov000fraz', 'ia:coldmountainnov100fraz', 'ia:coldmountainnove00fra_ynj', 'ia:coldmountainfra00fraz', 'marc:marc_openlibraries_phillipsacademy/PANO_FOR_IA_05072019.mrc:64518169:1524', 'marc:marc_openlibraries_sanfranciscopubliclibrary/sfpl_chq_2018_12_24_run02.mrc:151941017:3267', 'marc:marc_marygrove/marygrovecollegelibrary.full.D20191108.T213022.internetarchive2nd_REPACK.mrc:126359045:4587', 'marc:marc_marygrove/marygrovecollegelibrary.full.D20191108.T213022.internetarchive2nd_REPACK.mrc:126363632:4587', 'marc:marc_loc_2016/BooksAll.2016.part26.utf8:34437177:825']","{'type': '/type/text', 'value': 'Includes map on endpapers.\n\nNational Book Award for fiction.'}",356.0,"['9780871136794', '9781400077823']","{'type': '/type/datetime', 'value': '2011-08-08T02:29:15.223166'}",1st ed.,1998,,['605239092'],[{'key': '/works/OL16033000W'}],{'key': '/type/edition'},18,['IA113601'],nyu,Charles Frazier,,,['813/.54'],"['PS3556.R3599 C6 1997', 'PS3556.R3599 C6 1998']","['urn:phillips:31867001178511', 'urn:sfpl:31223049089353', 'urn:sfpl:31223060201564', 'urn:sfpl:31223049089395', 'urn:sfpl:31223046007432', 'urn:sfpl:31223045928208', 'urn:sfpl:31223099523343', 'urn:sfpl:31223049089387', 'urn:sfpl:31223101100510', 'urn:mgc:31927000754314', 'urn:mgc:31927000774981']",,,"['United States', 'North Carolina']","['Civil War, 1861-1865']","['Fiction', 'Love stories', 'Mountain life', 'Historical fiction', 'History']",,"['97000275', '98011053']",,,,,,,,,['coldmountainnov100fraz'],,,,,,,,,,,
120,['0375700757'],Cold mountain,,['Vintage Books'],"{'goodreads': ['386280'], 'librarything': ['2421']}",a novel,,"[6621269, 228248]",,"{'type': '/type/datetime', 'value': '2020-11-28T13:05:11.915166'}",15,/books/OL351613M,[{'key': '/authors/OL220820A'}],coldmountainnovefrazrich,['New York'],,[{'key': '/languages/eng'}],449 p. :,,"['marc:marc_records_scriblio_net/part27.dat:64662900:1024', 'ia:coldmountainnovefrazrich', 'ia:coldmountainnove00fraz', 'ia:coldmountainnove00frazx', 'ia:coldmountainnove00frazx', 'ia:coldmountainnove00fra_ynj', 'marc:marc_loc_2016/BooksAll.2016.part27.utf8:7410853:1024']",,449.0,,"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}",Vintage contemporaries ed.,1998,,,[{'key': '/works/OL1844035W'}],{'key': '/type/edition'},15,['IA101501'],nyu,by Charles Frazier.,,,['813/.54'],['PS3556.R3599 C6 1998'],,,,,,"['United States -- History -- Civil War, 1861-1865 -- Fiction']",['Fiction.'],['98011053'],,,,,['United States'],"['Contributor biographical information', 'Sample text', 'Publisher description']","['http://www.loc.gov/catdir/bios/random058/98011053.html', 'http://www.loc.gov/catdir/samples/random051/98011053.html', 'http://www.loc.gov/catdir/description/random0413/98011053.html']","['http://www.loc.gov/catdir/bios/random058/98011053.html', 'http://www.loc.gov/catdir/samples/random051/98011053.html', 'http://www.loc.gov/catdir/description/random0413/98011053.html']",,,,,"['Civil War, 1861-1865']",,,,,,,
121,['0899193099'],Cold Sassy tree,,['Ticknor & Fields'],"{'librarything': ['4173'], 'goodreads': ['162928']}",,,[8291157],,"{'type': '/type/datetime', 'value': '2020-10-30T17:02:42.921848'}",13,/books/OL2846463M,[{'key': '/authors/OL829391A'}],coldsassytree00burn_0,['New York'],,[{'key': '/languages/eng'}],391 p. ;,,"['marc:marc_records_scriblio_net/part17.dat:52980115:871', 'marc:CollingswoodLibraryMarcDump10-27-2008/Collingswood.out:3456773:1440', 'marc:marc_loc_updates/v37.i27.records.utf8:7223406:989', 'ia:coldsassytree00burn_0', 'marc:marc_loc_2016/BooksAll.2016.part15.utf8:122314751:989']",,391.0,,"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}",,1984,,,[{'key': '/works/OL4277765W'}],{'key': '/type/edition'},13,['IA177801'],nyu,Olive Ann Burns.,,,['813/.54'],['PS3552.U73248 C6 1984'],,,,,,"['Family -- Georgia -- Fiction', 'Country life -- Georgia -- Fiction']",,['84008570'],,,,,['Georgia'],['Publisher description'],['http://www.loc.gov/catdir/description/hm021/84008570.html'],['http://www.loc.gov/catdir/description/hm021/84008570.html'],['coldsassytree00burn_0'],,,,,,,,,,,
122,['0061099708'],Colony,,['HarperTorch'],"{'goodreads': ['95226'], 'librarything': ['21753']}",,,[45478],,"{'type': '/type/datetime', 'value': '2011-10-10T18:10:49.940556'}",8,/books/OL7288075M,[{'key': '/authors/OL217125A'}],colonyrive00sidd,,,[{'key': '/languages/eng'}],,,['ia:colonyrive00sidd'],,640.0,['9780061099700'],"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}",,"July 15, 1993",,,[{'key': '/works/OL1810257W'}],{'key': '/type/edition'},8,['IA109006'],,,,"{'type': '/type/text', 'value': 'All places where the French settled early have corruption at their heart, a kind of soft, rotten glow, like the phosphorescence of decaying wood, that is oddly attractive.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,['0312958129'],Coming home,Coming home,"[""St. Martin's Paperbacks""]",,,"{'type': '/type/text', 'value': 'Judith Dunbar comes of age while confronting her feelings about love and sadness and journeying back to her childhood home.'}",[8018675],,"{'type': '/type/datetime', 'value': '2020-10-12T07:49:41.222640'}",3,/books/OL26338114M,[{'key': '/authors/OL7383345A'}],isbn_9780312958121,['New York'],,[{'key': '/languages/eng'}],977 pages ;,,"['ia:isbn_9780312958121', 'bwb:9780312958121']","{'type': '/type/text', 'value': 'Originally published in hardcover.'}",977.0,['9780312958121'],"{'type': '/type/datetime', 'value': '2017-06-24T13:25:32.316866'}",St. Martin's paperbacks ed.,1996,,['34997595'],[{'key': '/works/OL17738875W'}],{'key': '/type/edition'},3,,nyu,Rosamunde Pilcher,,,['823/.914'],"['PR6066.I38 C66 1996x', '']",,,,['England'],,"['World War (1939-1945) fast (OCoLC)fst01180924', 'World War, 1939-1945', 'Fiction']",,,,,,,,,,,,,,,,,,,,,,
124,,Confessions of a shopaholic,,['The Dial Press'],,,,[6789125],,"{'type': '/type/datetime', 'value': '2020-08-03T04:25:41.075442'}",7,/books/OL24735470M,,isbn_B002DQMM4Q,"['New York, USA']",,,,,"['ia:isbn_B002DQMM4Q', 'marc:marc_openlibraries_sanfranciscopubliclibrary/sfpl_chq_2018_12_24_run02.mrc:218638458:3102', 'marc:marc_loc_2016/BooksAll.2016.part01.utf8:42209322:1170']",,,['9780385335485'],"{'type': '/type/datetime', 'value': '2011-07-05T23:04:51.165673'}",,2005,,,[{'key': '/works/OL5730768W'}],{'key': '/type/edition'},7,,,,,,,,"['urn:sfpl:31223113462494', 'urn:sfpl:31223113462502', 'urn:sfpl:31223113462478', 'urn:sfpl:31223085152859', 'urn:sfpl:31223087205408', 'urn:sfpl:31223113462510', 'urn:sfpl:31223113462452', 'urn:sfpl:31223113462460']",,,,,,,['00060398'],,,,,,,,,,,,,,,,,,,,
125,['0060392827'],Confessions of an ugly stepsister,,['ReganBooks'],"{'librarything': ['1902295'], 'goodreads': ['828418', '18943']}",,,[9622882],,"{'type': '/type/datetime', 'value': '2020-05-17T16:10:43.587062'}",7,/books/OL23244159M,[{'key': '/authors/OL21554A'}],confessionsofugl00magu_0,['New York'],"['Sanderson, Bill.']",[{'key': '/languages/eng'}],"xvi, 368 p. :",,"['marc:CollingswoodLibraryMarcDump10-27-2008/Collingswood.out:23882356:2194', 'ia:confessionsofugl00magu_0']","{'type': '/type/text', 'value': 'A ""retelling of the timeless Cinderella tale.""'}",368.0,['9780060987527'],"{'type': '/type/datetime', 'value': '2009-05-29T10:53:48.161670'}",1st ed.,1999,,,[{'key': '/works/OL66227W'}],{'key': '/type/edition'},7,,nyu,Gregory Maguire ; illustrations by Bill Sanderson.,,,,,,,,,,"['Stepchildren -- Netherlands -- 17th century -- Fiction', 'Sisters -- Netherlands -- 17th century -- Fiction', 'Fairy tales -- Adaptations', 'Netherlands -- Social life and customs -- Fiction']","['Fiction', 'Adaptations']",,,,,,,,,,,,,,,,,,,,,
126,['0345378490'],Congo,,['Ballantine Books'],"{'google': ['p5hjW6s0rIwC'], 'amazon': ['0345378490'], 'goodreads': ['49093422']}",,"{'type': '/type/text', 'value': 'Deep in the African rain forest, near the legendary ruins of the Lost City of Zinj, an expedition of eight American geologists is mysteriously and brutally killed in a matter of minutes.\r\n\r\nTen thousand miles away, Karen Ross, the Congo Project Supervisor, watches a gruesome video transmission of the aftermath: a camp destroyed, tents crushed and torn, equipment scattered in the mud alongside dead bodies — all motionless except for one moving image — a grainy, dark, man-shaped blur.\r\n\r\nIn San Francisco, primatologist Peter Elliot works with Amy, a gorilla with an extraordinary vocabulary of 620 “signs,” the most ever learned by a primate, and she likes to fingerpaint. But recently, her behavior has been erratic and her drawings match, with stunning accuracy, the brittle pages of a Portuguese print dating back to 1642 . . . a drawing of an ancient lost city. A new expedition — along with Amy — is sent into the Congo where they enter a secret world, and the only way out may be through a horrifying death …\r\n--back cover'}",[10656026],Mass Market Paperback,"{'type': '/type/datetime', 'value': '2021-02-22T17:58:53.764412'}",3,/books/OL31981077M,,congo00cric,['New York'],,[{'key': '/languages/eng'}],"xiv, 316 p.",{},,"{'type': '/type/text', 'value': 'US/CAN'}",,['9780345378491'],"{'type': '/type/datetime', 'value': '2021-02-22T17:53:21.482268'}",1st Ballantine Books edition,1993-01,1980,"['27954559', '1004442197']",[{'key': '/works/OL46913W'}],{'key': '/type/edition'},3,,,,,,,,,,,,,,,['80007972'],,,,,,,,,,,,,,,,,,,,
127,['0671004107'],Contact,,['Pocket Books'],"{'librarything': ['3252172'], 'goodreads': ['94786']}",,,"[6621511, 403318]",Mass Market Paperback,"{'type': '/type/datetime', 'value': '2019-01-05T06:03:38.066976'}",12,/books/OL7644116M,[{'key': '/authors/OL450295A'}],contact00saga,,,[{'key': '/languages/eng'}],,{},"['ia:contact00saga_900', 'ia:contact00saga_155']",,434.0,['9780671004101'],"{'type': '/type/datetime', 'value': '2008-04-29T15:03:11.581851'}",,"July 1, 1997",,,[{'key': '/works/OL2950953W'}],{'key': '/type/edition'},12,['IA124108'],,,,"{'type': '/type/text', 'value': 'By human standards it could not possibly have been artificial: It was the size of a world.'}",,,,,,,,"['Popular astronomy', 'Science Fiction - General', 'Fiction', 'Fiction - Science Fiction', 'Movie/Tv Tie-Ins', 'Fiction / General']",,,,,8 ounces,6.6 x 4.1 x 1.3 inches,,,,,,,,,,,,,,,,
128,['1557736847'],Contagion,,['Diamond/Charter'],{'librarything': ['1909399']},,,,Paperback,"{'type': '/type/datetime', 'value': '2020-11-30T01:08:05.420742'}",7,/books/OL8601397M,[{'key': '/authors/OL3038163A'}],,,,,,,"['amazon:1557736847:fk:2544606341:149588', 'marc:marc_loc_updates/v38.i33.records.utf8:8376031:735', 'marc:marc_loc_updates/v38.i33.records.utf8:15532614:695', 'marc:marc_loc_updates/v39.i48.records.utf8:1786078:735', 'marc:marc_loc_2016/BooksAll.2016.part27.utf8:173782796:695']",,,['9781557736840'],"{'type': '/type/datetime', 'value': '2008-04-30T08:14:56.482104'}",,April 1992,,,[{'key': '/works/OL8853591W'}],{'key': '/type/edition'},7,,,,,,,['CPB Box no. 1098 vol. 22'],,,,,,"['Horror - General', 'Fiction - Horror', 'Fiction']",,['98812881'],,,,6.8 x 4.3 x 0.9 inches,,,,,,,,,,,,,,,,
129,"['0380977788', '0066237440']",Coraline,,['HarperCollins'],"{'amazon': ['0380977788'], 'librarything': ['4183'], 'shelfari': ['44662'], 'goodreads': ['1061253', '474073']}",,"Looking for excitement, Coraline ventures through a mysterious door into a world that is similar, yet disturbingly different from her own, where she must challenge a gruesome entity in order to save herself, her parents, and the souls of three others.",[6765692],Hardcover,"{'type': '/type/datetime', 'value': '2017-10-04T23:20:07.430707'}",14,/books/OL3558316M,,,['New York'],"['McKean, Dave, ill.']",[{'key': '/languages/eng'}],162 p. :,{},,,162.0,['9780380977789'],"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}",1st ed.,2002,,,[{'key': '/works/OL679358W'}],{'key': '/type/edition'},14,,nyu,Neil Gaiman ; with illustrations by Dave McKean.,,"{'type': '/type/text', 'value': 'Coraline discovered the door a little while after they moved into the house.'}",['[Fic]'],['PZ7.G1273 Co 2002'],,,,,,"['Supernatural -- Fiction.', 'Horror stories.']",['Fiction.'],['2002018937'],,,8.8 ounces,8.6 x 5.8 x 0.7 inches,,['Publisher description'],['http://www.loc.gov/catdir/description/hc042/2002018937.html'],['http://www.loc.gov/catdir/description/hc042/2002018937.html'],,,,,,,,/static/images/book.trans.gif,,,,
130,['0553573136'],Couplehood.,,['Bantam'],"{'librarything': ['17630'], 'goodreads': ['232336']}",,,[7007726],,"{'type': '/type/datetime', 'value': '2012-01-12T20:10:21.442815'}",7,/books/OL16203629M,[{'key': '/authors/OL394815A'}],couplehood000reis,['New York'],,[{'key': '/languages/eng'}],348p.,,['ia:couplehood000reis'],,348.0,,"{'type': '/type/datetime', 'value': '2008-09-22T14:05:40.430562'}",,1995,,['33238637'],[{'key': '/works/OL2701271W'}],{'key': '/type/edition'},7,['IA152601'],xxu,,,,,,,,,,,,,,,,,,,,,,['couplehood000reis'],,,,,,,,,,,
